Nme                           Nulo?    Tipo          
------------------------------ -------- ------------- 
NU_OPERACAO                    NOT NULL NUMBER(10)    
NO_ENDERECO                             NVARCHAR2(35) 
NO_COMPLEMENTO                          NVARCHAR2(15) 
NO_BAIRRO                               NVARCHAR2(21) 
NO_COMARCA                              NVARCHAR2(40) 
NO_CIRCUNSCRICAO_IMOBILIARIA            NVARCHAR2(40) 
NU_INSCRICAO_MUNICIPAL                  NVARCHAR2(30) 
DT_TITULO_AQUISITIVO                    DATE          
NU_MATRICULA_IMOVEL                     NVARCHAR2(20) 
NU_REGISTRO_IMOVEL                      NVARCHAR2(20) 
NU_RGI                                  NVARCHAR2(70) 
TE_DESCRICAO_RGI                        BLOB          
VA_AVALIACAO_PROVISORIA                 FLOAT(126)    
DT_PRIMEIRA_AVALIACAO                   DATE          
VA_PRIMEIRA_AVALIACAO                   FLOAT(126)    
DT_SEGUNDA_AVALIACAO                    DATE          
VA_SEGUNDA_AVALIACAO                    FLOAT(126)    
CO_UF                                   NCHAR(2)      
NU_MUNICIPIO                            NCHAR(5)      
NO_PRIMEIRA_AVALIACAO                   NVARCHAR2(60) 
IN_TITULO_AQUISITIVO                    NCHAR(1)      
NO_SEGUNDA_AVALIACAO                    NVARCHAR2(60) 
TE_AVALIACAO_IMOVEL                     BLOB          
TE_REFERENCIA_LOCALIZACAO               BLOB          
NO_CONTATO_AVALIACAO                    NVARCHAR2(60) 
NU_DDD_AVALIACAO                        NCHAR(3)      
NU_TELEFONE_AVALIACAO                   NVARCHAR2(11) 
NU_DDD_CELULAR_AVALIACAO                NCHAR(3)      
NU_CELULAR_AVALIACAO                    NVARCHAR2(11) 
IN_CONTATO_AVALIACAO                    NCHAR(1)      
NO_TIPO_CONTATO_AVALIACAO               NVARCHAR2(40) 
NO_PESSOA_CONTATO                       NCHAR(20)     
NU_DDD_PESSOA_CONTATO                   NCHAR(3)      
NU_TELEFONE_PESSOA_CONTATO              NVARCHAR2(11) 
NO_HORARIO_AVALIACAO                    NVARCHAR2(20) 
TE_OBSERVACAO_AVALIACAO                 BLOB          
NO_TABELIONATO                          NVARCHAR2(60) 
NU_LIVRO_REGISTRO                       NVARCHAR2(30) 
NU_FOLHAS_REGISTRO                      NVARCHAR2(30) 
NO_COMPLEMENTO_ENDERECO                 NVARCHAR2(15) 
VA_PUBLICACAO_LEILAO                    FLOAT(126)    
NU_CEP                                  NVARCHAR2(9)  
TE_INSTRUMENTO_COMP_ANTERIOR            BLOB          
DT_INSTRUMENTO_COMP_ANTERIOR            DATE          
CO_FORMA_COMP_ANTERIOR                  NCHAR(1)      
TE_TABELIONATO_COMP_ANTERIOR            BLOB          
NO_LIVRO_COMP_ANTERIOR                  NVARCHAR2(30) 
NO_FOLHAS_COMP_ANTERIOR                 NVARCHAR2(30) 
TE_RGI_COMP_ANTERIOR                    BLOB          
NO_MATRICULA_COMP_ANTERIOR              NVARCHAR2(30) 
NO_REG_AVERB_COMP_ANTERIOR              NVARCHAR2(30) 
DT_POSSE_COMP_ANTERIOR                  DATE          
CO_EMPREENDIMENTO                       NUMBER(10)    
CO_IMOVEL                               NVARCHAR2(10) 
NO_IMOVEL_NOVO                          NCHAR(1)      
VA_TERRENO                              FLOAT(126)    
NU_LAUDO_AVALIACAO                      NVARCHAR2(15) 
CO_UF_CARTORIO_REGISTRO                 NCHAR(2)      
CO_MUNICIPIO_CARTORIO_REGISTRO          NUMBER(10)    
CO_NIVEL_LIQUIDEZ_GARANTIA              NUMBER(10)    
NU_IDADE_IMOVEL                         NUMBER(10)    
IN_VICIO_CONSTRUTIVO                    NCHAR(1)      
IN_VICIO_AFETA_IM                       NCHAR(1)      
IN_LOCAL_RISCO                          NCHAR(1)      
CO_USUARIO_AVALIACAO                    NVARCHAR2(20) 
DT_REGISTRO_AVALIACAO                   DATE          
CO_ENQUADRAMENTO_AVALIACAO              NUMBER(10)    
IN_FOTO                                 NCHAR(1)      
VA_AREA_AVERBADA                        FLOAT(126)    
VA_AREA_NAO_AVERBADA                    FLOAT(126)    
VA_AREA_IMOVEL                          FLOAT(126)    
IN_ENQUADRADO                           NCHAR(1)      
IN_RESTRICAO_ENQUADRAMENTO              NCHAR(1)      
VA_AREA_CONSTRUIDA                      FLOAT(126)    
IN_TIPO_IMOVEL                          NVARCHAR2(1)  
IN_USO_DO_IMOVEL                        NUMBER(10)    
CO_TIPO_IMOVEL                          NUMBER(10)    
NU_TESTADA                              FLOAT(126)    
CO_IMPLANTACAO                          NUMBER(10)    
CO_EST_CONSERV                          NUMBER(10)    
CO_PADRAO_ACAB                          NUMBER(10)    
CO_ESTR_SERV_CONDOM                     NUMBER(10)    
CO_GRAU_HIPOTECA                        NCHAR(1)      
QT_QUARTOS                              NUMBER(10)    
QT_VAGA_GARAGEM                         NUMBER(10)    
CO_CARTORIO_REGISTRO                    NVARCHAR2(3)  
DT_REGISTRO_AVERBACAO                   DATE          
IN_MATRICULA_BOX_GARAGEM                NCHAR(1)      
VA_AREA_PRIVATIVA                       FLOAT(126)    
VA_AREA_TERRENO                         FLOAT(126)    
DT_COMPRA_VENDA                         DATE          
NU_BOX                                  NUMBER(10)    
NU_VAGA_GARAGEM                         NVARCHAR2(7)  
IN_REGISTRADO                           NCHAR(1)      
CO_IMV_CLIENTE                          NUMBER(10)    
NO_NOME_CORRETOR                        NVARCHAR2(40) 
NU_NUM_CRECI                            NVARCHAR2(10) 
NU_REGISTRO_COMP_ANTERIOR               NVARCHAR2(20) 
CO_CARTORIO_COMP_ANTERIOR               NVARCHAR2(3)  
TP_GARANTIA_COMP_ANTERIOR               NUMBER(10)    
NU_AVERBACAO_COMP_ANTERIOR              NVARCHAR2(20) 
IN_LIQUIDACAO_COMP_ANTERIOR             NCHAR(1)      
IN_ALIENADO_PROPRIO                     NCHAR(1)      
VA_AREA_COMUM                           FLOAT(126)    
VA_AREA_UTIL                            FLOAT(126)    
VA_AREA_PRIVDESCOBERTA                  FLOAT(126)    
VA_AREA_PRIVTERREO                      FLOAT(126)    
VA_AREA_PAVSUPERIOR                     FLOAT(126)    
VA_AREA_NEDIFICAVEL                     FLOAT(126)    
VA_AREA_CONDOMINIO                      FLOAT(126)    
VA_FRACAO_IDEAL                         FLOAT(126)    
VA_FRACAO_IDEAL_GARAGEM                 FLOAT(126)    
NU_ANDAR                                NVARCHAR2(5)  
CO_TIPOGARAGEM                          NUMBER(10)  
